3.409,-19.027,6.620
3.731,-2.043,1.025
2.562,-5.272,3.286
3.501,-2.053,1.184
3.092,-1.032,0.856
3.690,-8.881,2.016
2.833,-7.765,2.233
3.019,-20.074,6.482
2.810,-8.023,2.864
3.272,-2.069,1.124
3.257,-6.616,2.327
3.151,-2.714,0.905
2.553,-5.933,1.775
2.946,-4.058,1.070
3.438,-5.573,1.519
3.341,-4.396,2.243
3.125,-4.015,1.218
3.724,-8.487,2.241
3.306,-1.774,1.092
2.880,-3.778,1.237
3.304,-2.913,1.613
3.200,-2.400,1.120
2.816,-8.284,2.846
2.847,-2.863,1.250
2.612,-6.449,2.315
3.231,-6.696,2.039
2.393,-3.719,1.431
3.573,-33.184,7.802
3.076,-9.732,3.650
2.504,-6.067,2.617
3.553,-10.244,2.673
4.008,-12.467,3.371
3.212,-36.953,10.418
4.306,-49.031,11.955
3.478,-13.605,4.563
3.520,-8.689,4.310
2.843,-5.348,1.735
3.420,-7.184,2.976
3.466,-9.422,3.569
3.980,-38.362,9.617
3.421,-7.006,2.247
2.608,-9.227,3.464
3.757,-5.003,1.430
3.442,-6.009,2.207
3.528,-5.630,1.832
3.146,-5.177,2.669
3.282,-2.017,0.981
2.770,-3.731,1.283
3.405,-27.909,9.265
3.435,-15.056,5.327
3.880,-9.916,3.262
3.869,-4.974,2.255
4.012,-4.454,1.628
4.061,-16.737,5.147
2.966,-7.417,2.040
3.479,-4.883,2.489
3.182,-5.013,2.117
3.502,-9.029,3.038
3.415,-2.047,1.088
4.120,-9.541,2.595
3.104,-5.605,1.734
3.297,-7.660,2.634
3.699,-3.913,1.200
3.880,-4.429,1.491
3.651,-6.808,2.619
3.567,-18.615,6.182
3.718,-5.654,2.095
3.499,-7.693,2.437
3.484,-1.234,0.788
3.448,-10.151,3.175
2.801,-6.727,1.858
3.543,-2.748,1.396
2.554,-7.172,2.273
3.308,-1.993,1.391
2.477,-6.512,2.060
3.400,-5.505,1.650
3.338,-7.546,2.002
3.199,-4.528,1.478
3.334,-4.002,1.270
3.579,-3.591,1.762
2.698,-7.465,2.436
2.517,-16.363,5.312
2.935,-2.036,1.805
3.603,-5.223,1.938
2.910,-7.369,2.918
4.148,-19.572,6.048
3.698,-5.380,2.026
3.546,-6.724,2.102
3.486,-3.655,1.776
2.891,-3.335,1.027
